id,customer_id,purchased_at,category,product_id,price
1971,43677,2020-07-01 01:44:53+00:00,Furniture,B_617210,978900
2464,60197,2020-07-01 02:21:32+00:00,Furniture,B_737510,104300
1813,9282,2020-07-01 02:34:09+00:00,Furniture,B_406400,764600
2187,22269,2020-07-01 03:00:28+00:00,Furniture,B_65210,455400
2249,33432,2020-07-01 03:04:44+00:00,Education,C_983210,860000
1488,31459,2020-07-01 03:12:11+00:00,Furniture,B_462210,705300
1505,42178,2020-07-01 03:13:48+00:00,Furniture,B_1184530,826000
2908,14970,2020-07-01 03:15:33+00:00,Furniture,B_407210,843900
1565,15092,2020-07-01 03:18:11+00:00,Furniture,B_383210,146400
2432,64270,2020-07-01 03:19:08+00:00,Furniture,B_482210,366600
1604,44943,2020-07-01 03:20:40+00:00,Furniture,B_617210,978900
1676,16291,2020-07-01 03:25:18+00:00,Furniture,B_251510,296800
1837,48892,2020-07-01 03:35:46+00:00,Furniture,B_32210,473700
3098,65696,2020-07-01 03:46:17+00:00,Furniture,B_642210,62600
2206,30614,2020-07-01 04:01:35+00:00,Furniture,B_475510,258900
2420,32045,2020-07-01 04:18:23+00:00,Furniture,B_251390,852300
1872,52244,2020-07-01 04:38:19+00:00,Furniture,B_65210,455400
1910,9643,2020-07-01 04:41:05+00:00,Furniture,B_594210,22500
1963,47106,2020-07-01 04:44:33+00:00,Furniture,B_70210,15900
1999,57269,2020-07-01 04:46:33+00:00,Furniture,B_915510,585300
3155,43435,2020-07-01 04:57:06+00:00,Furniture,B_619510,629900
2938,34506,2020-07-01 05:18:57+00:00,Furniture,B_13510,930700
2989,62415,2020-07-01 05:28:43+00:00,Furniture,B_617510,128400
3333,72981,2020-07-01 05:32:38+00:00,Furniture,B_694210,674200
3134,38541,2020-07-01 05:52:26+00:00,Furniture,B_70210,15900
3261,63394,2020-07-01 06:14:53+00:00,Furniture,B_872510,384900
3367,59675,2020-07-01 06:41:15+00:00,Furniture,B_750210,495600
4120,56975,2020-07-01 07:03:50+00:00,Furniture,B_468210,368200
4918,61983,2020-07-01 08:03:39+00:00,Furniture,B_462380,575300
5073,55142,2020-07-01 08:13:24+00:00,Furniture,B_746510,760100
4248,37563,2020-07-01 08:13:44+00:00,Furniture,B_710210,518100
4438,63517,2020-07-01 08:28:38+00:00,Furniture,B_435210,399300
5619,35550,2020-07-01 08:45:41+00:00,Furniture,B_617510,128400
5674,36732,2020-07-01 08:48:30+00:00,Furniture,B_70210,15900
3769,70160,2020-07-01 09:23:06+00:00,Furniture,B_251210,898900
3888,17773,2020-07-01 09:40:33+00:00,Furniture,B_617210,978900
5821,52644,2020-07-01 09:55:52+00:00,Education,C_933460,247000
7128,64103,2020-07-01 09:58:31+00:00,Furniture,B_421400,839900
4858,50584,2020-07-01 09:59:35+00:00,Furniture,B_684510,427000
4070,25290,2020-07-01 10:00:00+00:00,Furniture,B_686510,457900
4898,65897,2020-07-01 10:02:14+00:00,Furniture,B_729210,848900
7313,70365,2020-07-01 10:04:43+00:00,Furniture,B_474210,246700
7363,66228,2020-07-01 10:06:50+00:00,Furniture,B_684510,427000
6264,75244,2020-07-01 10:20:25+00:00,Furniture,B_476380,621900
4484,79910,2020-07-01 10:32:36+00:00,Furniture,B_617380,233900
8041,18598,2020-07-01 10:34:25+00:00,Furniture,B_476210,532400
4567,27607,2020-07-01 10:38:45+00:00,Furniture,B_708210,97400
5485,52680,2020-07-01 10:39:34+00:00,Furniture,B_665380,411500
4760,47239,2020-07-01 10:51:54+00:00,Furniture,B_709210,666700
5784,61035,2020-07-01 10:54:05+00:00,Furniture,B_735380,375200
7273,36903,2020-07-01 11:03:33+00:00,Furniture,B_462410,468900
7304,70365,2020-07-01 11:04:22+00:00,Furniture,B_474210,246700
8898,4512,2020-07-01 11:11:32+00:00,Furniture,B_643510,54200
8959,47028,2020-07-01 11:13:35+00:00,Furniture,B_684510,427000
7854,63044,2020-07-01 11:26:45+00:00,Furniture,B_466580,706400
9311,48416,2020-07-01 11:27:53+00:00,Furniture,B_617360,585900
9390,34083,2020-07-01 11:30:47+00:00,Furniture,B_741410,31500
9694,23517,2020-07-01 11:43:31+00:00,Furniture,B_32540,943900
5912,61035,2020-07-01 12:02:42+00:00,Furniture,B_746210,330100
6152,43123,2020-07-01 12:15:26+00:00,Furniture,B_686210,685600
7618,45358,2020-07-01 12:17:00+00:00,Furniture,B_741510,523100
10433,33827,2020-07-01 12:20:54+00:00,Furniture,B_728210,970500
