id,customer_id,visited_at
13604,61838,2020-07-01 00:01:05+00:00
13647,39713,2020-07-01 00:03:14+00:00
13655,56641,2020-07-01 00:03:42+00:00
13686,48412,2020-07-01 00:05:26+00:00
13712,47657,2020-07-01 00:07:14+00:00
13800,24557,2020-07-01 00:14:52+00:00
13837,43035,2020-07-01 00:19:12+00:00
13854,40518,2020-07-01 00:20:20+00:00
13938,53077,2020-07-01 00:27:39+00:00
13987,28772,2020-07-01 00:32:16+00:00
13994,52794,2020-07-01 00:33:01+00:00
14017,68055,2020-07-01 00:34:45+00:00
14033,48719,2020-07-01 00:36:10+00:00
14058,61075,2020-07-01 00:38:18+00:00
14196,63981,2020-07-01 00:50:48+00:00
14222,56063,2020-07-01 00:53:30+00:00
14312,28002,2020-07-01 01:02:19+00:00
14316,11168,2020-07-01 01:02:47+00:00
14364,82218,2020-07-01 01:07:03+00:00
14413,12779,2020-07-01 01:14:16+00:00
14426,72749,2020-07-01 01:16:12+00:00
14441,72749,2020-07-01 01:17:35+00:00
14473,66474,2020-07-01 01:20:56+00:00
14487,39483,2020-07-01 01:22:09+00:00
14508,39389,2020-07-01 01:23:59+00:00
14586,25644,2020-07-01 01:33:53+00:00
14621,21222,2020-07-01 01:40:06+00:00
14631,45613,2020-07-01 01:41:15+00:00
14645,55741,2020-07-01 01:43:57+00:00
14656,59643,2020-07-01 01:45:32+00:00
14688,60329,2020-07-01 01:50:44+00:00
14754,54222,2020-07-01 01:58:47+00:00
14759,50005,2020-07-01 01:59:20+00:00
14836,23409,2020-07-01 02:17:19+00:00
14848,42271,2020-07-01 02:18:52+00:00
14885,18419,2020-07-01 02:28:32+00:00
14891,34314,2020-07-01 02:29:22+00:00
14898,28186,2020-07-01 02:30:57+00:00
14947,46789,2020-07-01 02:42:18+00:00
14982,46767,2020-07-01 02:52:40+00:00
15084,30345,2020-07-01 03:19:31+00:00
15154,43435,2020-07-01 03:41:02+00:00
15190,30007,2020-07-01 03:55:03+00:00
15212,19589,2020-07-01 04:04:10+00:00
15229,46535,2020-07-01 04:10:54+00:00
15350,63783,2020-07-01 04:47:44+00:00
15364,47170,2020-07-01 04:54:14+00:00
15365,27313,2020-07-01 04:54:47+00:00
15413,52598,2020-07-01 05:16:44+00:00
15548,40518,2020-07-01 05:41:27+00:00
15565,39938,2020-07-01 05:44:19+00:00
15666,27650,2020-07-01 05:58:44+00:00
15683,53110,2020-07-01 06:00:17+00:00
15760,86875,2020-07-01 06:07:15+00:00
15770,64537,2020-07-01 06:08:45+00:00
15780,51516,2020-07-01 06:10:11+00:00
15824,65264,2020-07-01 06:13:47+00:00
15922,34022,2020-07-01 06:23:42+00:00
15939,84316,2020-07-01 06:25:00+00:00
16000,25463,2020-07-01 06:31:59+00:00
16040,47657,2020-07-01 06:35:40+00:00
16124,61075,2020-07-01 06:42:41+00:00
16150,49911,2020-07-01 06:45:47+00:00
16168,36236,2020-07-01 06:47:05+00:00
16202,51275,2020-07-01 06:49:52+00:00
16250,70134,2020-07-01 06:54:14+00:00
16282,51314,2020-07-01 06:57:17+00:00
16303,52423,2020-07-01 07:00:22+00:00
16309,32930,2020-07-01 07:00:51+00:00
16378,50584,2020-07-01 07:07:04+00:00
16445,83832,2020-07-01 07:12:12+00:00
16591,17922,2020-07-01 07:24:17+00:00
16651,27672,2020-07-01 07:29:05+00:00
16715,71698,2020-07-01 07:34:23+00:00
16805,39567,2020-07-01 07:40:11+00:00
16907,64651,2020-07-01 07:46:43+00:00
17062,79076,2020-07-01 07:57:40+00:00
17067,33564,2020-07-01 07:57:52+00:00
17300,61475,2020-07-01 08:15:50+00:00
17317,69797,2020-07-01 08:16:25+00:00
17350,41033,2020-07-01 08:18:41+00:00
17430,46291,2020-07-01 08:23:29+00:00
17531,32390,2020-07-01 08:29:46+00:00
17544,52399,2020-07-01 08:30:22+00:00
17575,13258,2020-07-01 08:31:47+00:00
17668,43519,2020-07-01 08:36:53+00:00
17719,27070,2020-07-01 08:39:14+00:00
17784,14579,2020-07-01 08:42:35+00:00
17793,75917,2020-07-01 08:43:00+00:00
17915,58724,2020-07-01 08:51:04+00:00
17926,33731,2020-07-01 08:51:40+00:00
17930,55083,2020-07-01 08:51:56+00:00
17963,15770,2020-07-01 08:53:46+00:00
17981,55616,2020-07-01 08:54:54+00:00
18030,36497,2020-07-01 08:57:32+00:00
18208,66228,2020-07-01 09:05:31+00:00
18211,45958,2020-07-01 09:05:42+00:00
18268,58796,2020-07-01 09:08:35+00:00
18277,82723,2020-07-01 09:09:08+00:00
18423,49919,2020-07-01 09:17:23+00:00
18428,49919,2020-07-01 09:17:35+00:00
18464,68664,2020-07-01 09:19:12+00:00
18504,32697,2020-07-01 09:21:40+00:00
18511,50482,2020-07-01 09:22:04+00:00
